2019-06-23 10:35:40.564348, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:35:45.505392, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:35:46.865151, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:35:51.736447, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:35:53.476209, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:36:11.716476, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:36:31.378189, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:36:36.181984, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:36:38.087013, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:36:42.893819, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:36:45.160222, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:37:25.006221, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:37:26.871152, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:37:31.686251, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:37:33.793846, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:38:07.929133, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:38:09.335848, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:38:14.162675, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:38:16.532762, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:38:21.432851, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:38:23.244541, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:38:28.045314, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:38:29.694727, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:38:34.474648, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:38:36.459090, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:38:54.796784, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:38:59.082937, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:39:03.919188, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:39:08.159580, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:39:26.640112, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:39:41.665292, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:39:46.406540, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:40:08.451940, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:40:13.269552, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:40:29.426810, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:40:34.276912, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:40:35.912863, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:40:40.970236, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:40:48.977541, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:40:53.780050, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:40:58.335524, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:41:03.589544, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:41:23.805804, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:41:28.634979, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:41:30.904205, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:41:35.813990, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:41:37.411539, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:41:42.255703, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:42:08.173642, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:42:13.297323, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:42:15.310487, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:42:20.127217, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:42:22.389385, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:42:27.158593, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:42:29.077622, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:42:58.543338, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:43:01.567217, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:43:20.973347, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:44:08.619994, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:44:13.704354, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:44:36.228795, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:44:41.029335, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:44:51.964692, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:44:56.755647, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:45:03.029547, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:45:08.261669, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:45:53.302857, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:45:58.128073, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:46:02.407380, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:46:07.351166, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:46:08.838241, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:46:13.728174, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:46:59.117139, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:47:04.133685, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:47:19.430639, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:47:24.444854, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:48:32.841384, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:48:37.658352, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:49:09.688132, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:49:14.541503, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:49:17.488397, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:49:22.617975, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:49:26.107569, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:49:30.835898, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:49:32.849972, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:49:58.740671, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:50:01.451900, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:50:35.464014, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:51:17.599552, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:51:22.409686, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:51:24.209477, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:51:42.723523, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:51:44.250664, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:52:01.916807, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:52:03.517895, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:52:21.156690, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:52:22.902936, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:52:55.772868, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:52:57.525945, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:53:02.256204, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:53:03.596160, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:54:12.399493, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:54:13.695385, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:54:36.059866, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:54:37.553254, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:55:01.265979, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:55:02.980477, INFO, BHS_INTF, Got BAG_START
