Time,RFID,BagID,Travel Distance,Beam Diff
2019-06-21 10:59:07.453501,0000000000000403,000054999, 1545.00,-45.00
2019-06-21 10:59:13.893834,0000000000000293,000055000, 3893.00,2303.00
2019-06-21 10:59:13.893945,__I__28073395,000055000, 2881.00,1291.00
2019-06-21 10:59:13.893975,__I__28079842,000055000, 1918.00,328.00
2019-06-21 10:59:13.894024,0000000000000403,000055000, 2510.00,920.00
2019-06-21 10:59:13.894045,__I__28086203,000055000, 965.00,-625.00
2019-06-21 10:59:51.901505,__I__28073395,000055001, 3838.00,2248.00
2019-06-21 10:59:51.901583,__I__28079842,000055001, 2875.00,1285.00
2019-06-21 10:59:51.901624,0000000000000403,000055001, 3467.00,1877.00
2019-06-21 10:59:51.901646,__I__28086203,000055001, 1922.00,332.00
2019-06-21 10:59:51.901669,__I__28092643,000055001, 957.00,-633.00
2019-06-21 10:59:58.329434,__I__28079842,000055002, 3841.00,2251.00
2019-06-21 10:59:58.329539,0000000000000403,000055002, 4433.00,2843.00
2019-06-21 10:59:58.329578,__I__28086203,000055002, 2888.00,1298.00
2019-06-21 10:59:58.329633,__I__28092643,000055002, 1923.00,333.00
2019-06-21 10:59:58.329662,__I__28130651,000055002, 966.00,-624.00
2019-06-21 11:00:04.699255,__I__28079842,000055003, 4798.00,3208.00
2019-06-21 11:00:04.699326,0000000000000403,000055003, 5390.00,3800.00
2019-06-21 11:00:04.699365,__I__28086203,000055003, 3845.00,2255.00
2019-06-21 11:00:04.699403,__I__28092643,000055003, 2880.00,1290.00
2019-06-21 11:00:04.699460,__I__28130651,000055003, 1923.00,333.00
2019-06-21 11:00:04.699509,__I__28137079,000055003, 957.00,-633.00
2019-06-21 11:00:11.143899,0000000000000403,000055004, 6357.00,4767.00
2019-06-21 11:00:11.143968,__I__28086203,000055004, 4812.00,3222.00
2019-06-21 11:00:11.144024,__I__28092643,000055004, 3847.00,2257.00
2019-06-21 11:00:11.144072,__I__28130651,000055004, 2890.00,1300.00
2019-06-21 11:00:11.144100,__I__28137079,000055004, 1924.00,334.00
2019-06-21 11:00:11.144124,__I__28143449,000055004, 967.00,-623.00
2019-06-21 11:00:17.526721,0000000000000403,000055005, 7316.00,5726.00
2019-06-21 11:00:17.526797,__I__28092643,000055005, 4806.00,3216.00
2019-06-21 11:00:17.526827,__I__28130651,000055005, 3849.00,2259.00
2019-06-21 11:00:17.526848,__I__28137079,000055005, 2883.00,1293.00
2019-06-21 11:00:17.526868,__I__28143449,000055005, 1926.00,336.00
2019-06-21 11:00:17.526889,__I__28149894,000055005, 959.00,-631.00
2019-06-21 11:00:23.957526,0000000000000403,000055006, 8282.00,6692.00
2019-06-21 11:00:23.957597,__I__28130651,000055006, 4815.00,3225.00
2019-06-21 11:00:23.957635,__I__28137079,000055006, 3849.00,2259.00
2019-06-21 11:00:23.957672,__I__28143449,000055006, 2892.00,1302.00
2019-06-21 11:00:23.957711,__I__28149894,000055006, 1925.00,335.00
2019-06-21 11:00:23.957738,__I__28156276,000055006, 966.00,-624.00
2019-06-21 11:00:30.318279,__I__28137079,000055007, 4804.00,3214.00
2019-06-21 11:00:30.318351,__I__28143449,000055007, 3847.00,2257.00
2019-06-21 11:00:30.318388,__I__28149894,000055007, 2880.00,1290.00
2019-06-21 11:00:30.318423,__I__28156276,000055007, 1921.00,331.00
2019-06-21 11:00:30.318462,__I__28162707,000055007, 955.00,-635.00
2019-06-21 12:19:08.876788,00000000000003ec,000055073, 1295.00,-295.00
2019-06-21 12:58:06.153589,000000000000040a,000055158, 767.00,-823.00
2019-06-21 15:23:04.791780,0000000000000408,000055307, 1248.00,-342.00
