2019-05-06 11:06:25.105221, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000141] is in the window to link with internal bag_id [000022599], scan state: NotScanned, travel dist: 1646.00, beam_diff: 56.00 entry pos: 423639.00
2019-05-06 11:07:01.319335, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000176] is in the window to link with internal bag_id [000022600], scan state: NotScanned, travel dist: 1680.00, beam_diff: 90.00 entry pos: 424644.00
2019-05-06 11:08:25.869151, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000166] is in the window to link with internal bag_id [000022603], scan state: NotScanned, travel dist: 1680.00, beam_diff: 90.00 entry pos: 427704.00
2019-05-06 11:08:47.081890, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000178] is in the window to link with internal bag_id [000022604], scan state: NotScanned, travel dist: 1681.00, beam_diff: 91.00 entry pos: 428688.00
2019-05-06 11:08:53.707461, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016f] is in the window to link with internal bag_id [000022605], scan state: NotScanned, travel dist: 1665.00, beam_diff: 75.00 entry pos: 429695.00
2019-05-06 11:09:00.536222, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000173] is in the window to link with internal bag_id [000022606], scan state: NotScanned, travel dist: 1648.00, beam_diff: 58.00 entry pos: 430735.00
2019-05-06 11:09:45.186428, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015e] is in the window to link with internal bag_id [000022607], scan state: NotScanned, travel dist: 1652.00, beam_diff: 62.00 entry pos: 431892.00
2019-05-06 11:10:05.756687, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000162] is in the window to link with internal bag_id [000022608], scan state: NotScanned, travel dist: 1630.00, beam_diff: 40.00 entry pos: 432980.00
2019-05-06 11:10:29.175131, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014d] is in the window to link with internal bag_id [000022609], scan state: NotScanned, travel dist: 1683.00, beam_diff: 93.00 entry pos: 434409.00
2019-05-06 11:11:30.116602, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000143] is in the window to link with internal bag_id [000022610], scan state: NotScanned, travel dist: 1663.00, beam_diff: 73.00 entry pos: 435476.00
